trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
NPS_BOHA_MA18-Wd__R1__1000_IS,10:00:00,10:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-Wd__R1__1000_IS,10:45:00,10:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-Wd__R1__1100_ML,11:00:00,11:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-Wd__R1__1100_ML,11:45:00,11:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-Wd__R1__1200_IS,12:00:00,12:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-Wd__R1__1200_IS,12:45:00,12:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-Wd__R1__1300_ML,13:00:00,13:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-Wd__R1__1300_ML,13:45:00,13:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-Wd__R1__1400_IS,14:00:00,14:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-Wd__R1__1400_IS,14:45:00,14:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-Wd__R1__1500_ML,15:00:00,15:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-Wd__R1__1500_ML,15:45:00,15:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-Wd__R1__1600_IS,16:00:00,16:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-Wd__R1__1600_IS,16:45:00,16:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-Wd__R1__1700_ML,17:00:00,17:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-Wd__R1__1700_ML,17:45:00,17:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-We__R1__1000_IS,10:00:00,10:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-We__R1__1000_IS,10:45:00,10:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-We__R1__1100_ML,11:00:00,11:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-We__R1__1100_ML,11:45:00,11:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-We__R1__1200_IS,12:00:00,12:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-We__R1__1200_IS,12:45:00,12:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-We__R1__1300_ML,13:00:00,13:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-We__R1__1300_ML,13:45:00,13:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-We__R1__1400_IS,14:00:00,14:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-We__R1__1400_IS,14:45:00,14:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-We__R1__1500_ML,15:00:00,15:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-We__R1__1500_ML,15:45:00,15:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-We__R1__1600_IS,16:00:00,16:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-We__R1__1600_IS,16:45:00,16:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_MA18-We__R1__1700_ML,17:00:00,17:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_MA18-We__R1__1700_ML,17:45:00,17:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-We__R2__1100_IS,11:00:00,11:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-We__R2__1100_IS,11:30:00,11:30:00,NPS_BOHA__SPIS,20,1,,0
NPS_BOHA_MA18-We__R2__1200_ML,12:00:00,12:00:00,NPS_BOHA__SPIS,20,,1,1
NPS_BOHA_MA18-We__R2__1200_ML,12:30:00,12:30:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-We__R2__1300_IS,13:00:00,13:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-We__R2__1300_IS,13:30:00,13:30:00,NPS_BOHA__SPIS,20,1,,0
NPS_BOHA_MA18-We__R2__1400_ML,14:00:00,14:00:00,NPS_BOHA__SPIS,20,,1,1
NPS_BOHA_MA18-We__R2__1400_ML,14:30:00,14:30:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_MA18-We__R2__1500_IS,15:00:00,15:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_MA18-We__R2__1500_IS,15:30:00,15:30:00,NPS_BOHA__SPIS,20,1,,0
NPS_BOHA_MA18-We__R2__1600_ML,16:00:00,16:00:00,NPS_BOHA__SPIS,20,,1,1
NPS_BOHA_MA18-We__R2__1600_ML,16:30:00,16:30:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_SP18-Wd__R1__1000_IS,10:00:00,10:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_SP18-Wd__R1__1000_IS,10:45:00,10:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_SP18-Wd__R1__1100_ML,11:00:00,11:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_SP18-Wd__R1__1100_ML,11:45:00,11:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_SP18-Wd__R1__1200_IS,12:00:00,12:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_SP18-Wd__R1__1200_IS,12:45:00,12:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_SP18-Wd__R1__1300_ML,13:00:00,13:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_SP18-Wd__R1__1300_ML,13:45:00,13:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_SP18-Wd__R1__1400_IS,14:00:00,14:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_SP18-Wd__R1__1400_IS,14:45:00,14:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_SP18-Wd__R1__1500_ML,15:00:00,15:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_SP18-Wd__R1__1500_ML,15:45:00,15:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_SP18-Wd__R1__1600_IS,16:00:00,16:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_SP18-Wd__R1__1600_IS,16:45:00,16:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_SP18-Wd__R1__1700_ML,17:00:00,17:00:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_SP18-Wd__R1__1700_ML,17:45:00,17:45:00,NPS_BOHA__LOWH,30,1,,0
NPS_BOHA_SP18-Wd__I1__1000_IS,10:00:00,10:00:00,NPS_BOHA__HECO,10,,1,1
NPS_BOHA_SP18-Wd__I1__1000_IS,10:25:00,10:25:00,NPS_BOHA__GEIS,20,1,,1
NPS_BOHA_SP18-Wd__I1__1200_IS,12:00:00,12:00:00,NPS_BOHA__HECO,10,,1,1
NPS_BOHA_SP18-Wd__I1__1200_IS,12:20:00,12:20:00,NPS_BOHA__GEIS,20,1,,1
NPS_BOHA_SP18-Wd__I1__1325_ML,13:25:00,13:25:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_SP18-Wd__I1__1325_ML,13:55:00,13:55:00,NPS_BOHA__HECO,30,1,,1
NPS_BOHA_SP18-Wd__I1__1505_ML,15:05:00,15:05:00,NPS_BOHA__GEIS,20,,1,1
NPS_BOHA_SP18-Wd__I1__1505_ML,15:40:00,15:40:00,NPS_BOHA__HECO,30,1,,1
NPS_BOHA_SP18-We__R1__1000_IS,10:00:00,10:00:00,NPS_BOHA__LOWH,10,,1,1
NPS_BOHA_SP18-We__R1__1000_IS,10:45:00,10:45:00,NPS_BOHA__GEIS,20,1,,0
NPS_BOHA_SP18-We__R1__1100_ML,11:00:00,11:00:00,NPS_BOHA__GEIS,20,,1,1
