route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
NPS_BOHA__GEIS,SP17-Wd,NPS_BOHA_SP17-Wd__R1__1000_IS,,0,SP17-Wd_R1,LOWH__GEIS,2
NPS_BOHA__LOWH,SP17-Wd,NPS_BOHA_SP17-Wd__R1__1100_ML,,1,SP17-Wd_R1,GEIS__LOWH,2
NPS_BOHA__GEIS,SP17-Wd,NPS_BOHA_SP17-Wd__R1__1200_IS,,0,SP17-Wd_R1,LOWH__GEIS,2
NPS_BOHA__LOWH,SP17-Wd,NPS_BOHA_SP17-Wd__R1__1300_ML,,1,SP17-Wd_R1,GEIS__LOWH,2
NPS_BOHA__GEIS,SP17-Wd,NPS_BOHA_SP17-Wd__R1__1400_IS,,0,SP17-Wd_R1,LOWH__GEIS,2
NPS_BOHA__LOWH,SP17-Wd,NPS_BOHA_SP17-Wd__R1__1500_ML,,1,SP17-Wd_R1,GEIS__LOWH,2
NPS_BOHA__LOWH,SP17-Wd,NPS_BOHA_SP17-Wd__R1__1700_ML,,1,SP17-Wd_R1,GEIS__LOWH,2
NPS_BOHA__SPIS,SP17-Wd,NPS_BOHA_SP17-Wd__R2__1030_IS,,0,SP17-Wd_R2,LOWH__SPIS,2
NPS_BOHA__LOWH,SP17-Wd,NPS_BOHA_SP17-Wd__R2__1130_ML,,1,SP17-Wd_R2,SPIS__LOWH,2
NPS_BOHA__SPIS,SP17-Wd,NPS_BOHA_SP17-Wd__R2__1300_IS,,0,SP17-Wd_R2,LOWH__SPIS,2
NPS_BOHA__LOWH,SP17-Wd,NPS_BOHA_SP17-Wd__R2__1400_ML,,1,SP17-Wd_R2,SPIS__LOWH,2
NPS_BOHA__SPIS,SP17-Wd,NPS_BOHA_SP17-Wd__R2__1500_IS,,0,SP17-Wd_R2,LOWH__SPIS,2
NPS_BOHA__LOWH,SP17-Wd,NPS_BOHA_SP17-Wd__R2__1600_ML,,1,SP17-Wd_R2,SPIS__LOWH,2
