shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Blue-All,40.37665,-105.48222,1
Blue-All,40.37664,-105.48261,2
Blue-All,40.37659,-105.48287,3
Blue-All,40.37655,-105.48294,4
Blue-All,40.3765,-105.48296,5
Blue-All,40.37644,-105.48296,6
Blue-All,40.3764,-105.48298,7
Blue-All,40.37639,-105.48306,8
Blue-All,40.37648,-105.48374,9
Blue-All,40.37648,-105.48383,10
Blue-All,40.37659,-105.48426,11
Blue-All,40.37675,-105.48478,12
Blue-All,40.37766,-105.48685,13
Blue-All,40.37821,-105.48807,14
Blue-All,40.37901,-105.48982,15
Blue-All,40.37932,-105.49053,16
Blue-All,40.37946,-105.49049,17
Blue-All,40.37954,-105.49047,18
Blue-All,40.37968,-105.4905,19
Blue-All,40.38002,-105.49059,20
Blue-All,40.38021,-105.49061,21
Blue-All,40.38055,-105.49056,22
Blue-All,40.38107,-105.49041,23
Blue-All,40.38236,-105.49002,24
Blue-All,40.38371,-105.4896,25
Blue-All,40.38415,-105.48944,26
Blue-All,40.38554,-105.48901,27
Blue-All,40.38636,-105.48878,28
Blue-All,40.38662,-105.48874,29
Blue-All,40.38696,-105.48873,30
Blue-All,40.38727,-105.48872,31
Blue-All,40.3875,-105.48869,32
Blue-All,40.38783,-105.48858,33
Blue-All,40.388,-105.48856,34
Blue-All,40.38839,-105.48856,35
Blue-All,40.38888,-105.48865,36
Blue-All,40.38913,-105.48872,37
Blue-All,40.3894,-105.48874,38
Blue-All,40.38965,-105.48872,39
Blue-All,40.39002,-105.4886,40
Blue-All,40.39044,-105.48842,41
Blue-All,40.39078,-105.48829,42
Blue-All,40.3908,-105.48843,43
Blue-All,40.39083,-105.48864,44
Blue-All,40.39083,-105.48878,45
Blue-All,40.39083,-105.48897,46
Blue-All,40.39078,-105.4893,47
Blue-All,40.39074,-105.48937,48
Blue-All,40.39081,-105.48941,49
Blue-All,40.39094,-105.48951,50
Blue-All,40.39101,-105.48972,51
Blue-All,40.3911,-105.48969,52
Blue-All,40.39114,-105.48991,53
Blue-All,40.39123,-105.49036,54
Blue-All,40.39127,-105.49045,55
Blue-All,40.3913,-105.49056,56
Blue-All,40.39127,-105.49068,57
Blue-All,40.39121,-105.49072,58
Blue-All,40.39115,-105.49072,59
Blue-All,40.3911,-105.49071,60
Blue-All,40.39108,-105.49065,61
Blue-All,40.39106,-105.49045,62
Blue-All,40.39092,-105.48977,63
Blue-All,40.39101,-105.48972,64
Blue-All,40.39094,-105.48951,65
Blue-All,40.39081,-105.48941,66
Blue-All,40.39074,-105.48937,67
Blue-All,40.39058,-105.48973,68
Blue-All,40.39018,-105.49054,69
Blue-All,40.39014,-105.49076,70
Blue-All,40.39014,-105.49099,71
Blue-All,40.39061,-105.49277,72
Blue-All,40.38993,-105.49304,73
Blue-All,40.3897,-105.49313,74
Blue-All,40.38951,-105.49315,75
Blue-All,40.38936,-105.4931,76
Blue-All,40.38922,-105.49297,77
Blue-All,40.3891,-105.49279,78
Blue-All,40.38904,-105.49257,79
Blue-All,40.38901,-105.49053,80
Blue-All,40.38902,-105.4889,81
Blue-All,40.38903,-105.48869,82
Blue-All,40.38888,-105.48865,83
Blue-All,40.38849,-105.48857,84
Blue-All,40.38839,-105.48856,85
Blue-All,40.38826,-105.48855,86
Blue-All,40.38815,-105.48856,87
Blue-All,40.38813,-105.48856,88
Blue-All,40.388,-105.48856,89
Blue-All,40.38788,-105.48858,90
Blue-All,40.38783,-105.48858,91
Blue-All,40.38775,-105.4886,92
Blue-All,40.3875,-105.48869,93
Blue-All,40.38738,-105.48872,94
Blue-All,40.38728,-105.48874,95
Blue-All,40.38715,-105.48875,96
Blue-All,40.38704,-105.48874,97
Blue-All,40.38683,-105.48875,98
Blue-All,40.38663,-105.48875,99
Blue-All,40.38652,-105.48876,100
Blue-All,40.38636,-105.48878,101
Blue-All,40.38623,-105.48882,102
Blue-All,40.38554,-105.48902,103
Blue-All,40.3843,-105.48941,104
Blue-All,40.38415,-105.48944,105
Blue-All,40.38386,-105.48954,106
Blue-All,40.38372,-105.4896,107
Blue-All,40.38329,-105.48974,108
Blue-All,40.38314,-105.48977,109
Blue-All,40.38244,-105.49,110
Blue-All,40.38236,-105.49003,111
Blue-All,40.38134,-105.49034,112
Blue-All,40.38137,-105.49044,113
Blue-All,40.3815,-105.49081,114
Blue-All,40.38154,-105.49092,115
Blue-All,40.3816,-105.49106,116
Blue-All,40.38171,-105.49132,117
Blue-All,40.38193,-105.49181,118
Blue-All,40.38209,-105.49213,119
Blue-All,40.38227,-105.49254,120
