trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
Su16__Brown_0800,8:00:00,8:00:00,40460,10,,0,1
Su16__Brown_0800,8:05:00,8:05:00,40900,20,,0,0
Su16__Brown_0800,8:09:00,8:09:00,40600,30,,0,0
Su16__Brown_0800,8:12:00,8:12:00,40610,40,,0,0
Su16__Brown_0800,8:16:00,8:16:00,40620,50,Outbound,0,0
Su16__Brown_0800,8:17:00,8:17:00,40630,60,,0,0
Su16__Brown_0800,8:19:00,8:19:00,40640,70,,0,0
Su16__Brown_0800,8:20:00,8:20:00,40910,80,,0,0
Su16__Brown_0800,8:22:00,8:22:00,40920,90,,0,0
Su16__Brown_0800,8:30:00,8:30:00,40780,100,,0,0
Su16__Brown_0800,8:34:00,8:34:00,40670,110,,0,0
Su16__Brown_0800,8:35:00,8:35:00,40680,120,,0,0
Su16__Brown_0800,8:42:00,8:42:00,40690,130,,0,0
Su16__Brown_0800,8:47:00,8:47:00,40625,140,Inbound,0,0
Su16__Brown_0800,8:48:00,8:48:00,40930,150,,0,0
Su16__Brown_0800,8:49:00,8:49:00,40700,160,,0,0
Su16__Brown_0800,8:52:00,8:52:00,40710,170,,0,0
Su16__Brown_0800,8:54:00,8:54:00,40490,180,,0,0
Su16__Brown_0800,9:00:00,9:00:00,40460,190,,1,0
Su16__Brown_0900,9:00:00,9:00:00,40460,10,,0,1
Su16__Brown_0900,9:05:00,9:05:00,40900,20,,0,0
Su16__Brown_0900,9:09:00,9:09:00,40600,30,,0,0
Su16__Brown_0900,9:12:00,9:12:00,40610,40,,0,0
Su16__Brown_0900,9:16:00,9:16:00,40620,50,Outbound,0,0
Su16__Brown_0900,9:17:00,9:17:00,40630,60,,0,0
Su16__Brown_0900,9:19:00,9:19:00,40640,70,,0,0
Su16__Brown_0900,9:20:00,9:20:00,40910,80,,0,0
Su16__Brown_0900,9:22:00,9:22:00,40920,90,,0,0
Su16__Brown_0900,9:30:00,9:30:00,40780,100,,0,0
Su16__Brown_0900,9:34:00,9:34:00,40670,110,,0,0
Su16__Brown_0900,9:35:00,9:35:00,40680,120,,0,0
Su16__Brown_0900,9:42:00,9:42:00,40690,130,,0,0
Su16__Brown_0900,9:47:00,9:47:00,40625,140,Inbound,0,0
Su16__Brown_0900,9:48:00,9:48:00,40930,150,,0,0
Su16__Brown_0900,9:49:00,9:49:00,40700,160,,0,0
Su16__Brown_0900,9:52:00,9:52:00,40710,170,,0,0
Su16__Brown_0900,9:54:00,9:54:00,40490,180,,0,0
Su16__Brown_0900,10:00:00,10:00:00,40460,190,,1,0
Su16__Brown_1000,10:00:00,10:00:00,40460,10,,0,1
Su16__Brown_1000,10:05:00,10:05:00,40900,20,,0,0
Su16__Brown_1000,10:09:00,10:09:00,40600,30,,0,0
Su16__Brown_1000,10:12:00,10:12:00,40610,40,,0,0
Su16__Brown_1000,10:16:00,10:16:00,40620,50,Outbound,0,0
Su16__Brown_1000,10:17:00,10:17:00,40630,60,,0,0
Su16__Brown_1000,10:19:00,10:19:00,40640,70,,0,0
Su16__Brown_1000,10:20:00,10:20:00,40910,80,,0,0
Su16__Brown_1000,10:22:00,10:22:00,40920,90,,0,0
Su16__Brown_1000,10:30:00,10:30:00,40780,100,,0,0
Su16__Brown_1000,10:34:00,10:34:00,40670,110,,0,0
Su16__Brown_1000,10:35:00,10:35:00,40680,120,,0,0
Su16__Brown_1000,10:42:00,10:42:00,40690,130,,0,0
Su16__Brown_1000,10:47:00,10:47:00,40625,140,Inbound,0,0
Su16__Brown_1000,10:48:00,10:48:00,40930,150,,0,0
Su16__Brown_1000,10:49:00,10:49:00,40700,160,,0,0
Su16__Brown_1000,10:52:00,10:52:00,40710,170,,0,0
Su16__Brown_1000,10:54:00,10:54:00,40490,180,,0,0
Su16__Brown_1000,11:00:00,11:00:00,40460,190,,1,0
Su16__Brown_1100,11:00:00,11:00:00,40460,10,,0,1
Su16__Brown_1100,11:05:00,11:05:00,40900,20,,0,0
Su16__Brown_1100,11:09:00,11:09:00,40600,30,,0,0
Su16__Brown_1100,11:12:00,11:12:00,40610,40,,0,0
Su16__Brown_1100,11:16:00,11:16:00,40620,50,Outbound,0,0
Su16__Brown_1100,11:17:00,11:17:00,40630,60,,0,0
Su16__Brown_1100,11:19:00,11:19:00,40640,70,,0,0
Su16__Brown_1100,11:20:00,11:20:00,40910,80,,0,0
Su16__Brown_1100,11:22:00,11:22:00,40920,90,,0,0
Su16__Brown_1100,11:30:00,11:30:00,40780,100,,0,0
Su16__Brown_1100,11:34:00,11:34:00,40670,110,,0,0
Su16__Brown_1100,11:35:00,11:35:00,40680,120,,0,0
Su16__Brown_1100,11:42:00,11:42:00,40690,130,,0,0
Su16__Brown_1100,11:47:00,11:47:00,40625,140,Inbound,0,0
Su16__Brown_1100,11:48:00,11:48:00,40930,150,,0,0
Su16__Brown_1100,11:49:00,11:49:00,40700,160,,0,0
Su16__Brown_1100,11:52:00,11:52:00,40710,170,,0,0
Su16__Brown_1100,11:54:00,11:54:00,40490,180,,0,0
Su16__Brown_1100,12:00:00,12:00:00,40460,190,,1,0
Su16__Brown_1200,12:00:00,12:00:00,40460,10,,0,1
Su16__Brown_1200,12:05:00,12:05:00,40900,20,,0,0
Su16__Brown_1200,12:09:00,12:09:00,40600,30,,0,0
Su16__Brown_1200,12:12:00,12:12:00,40610,40,,0,0
Su16__Brown_1200,12:16:00,12:16:00,40620,50,Outbound,0,0
Su16__Brown_1200,12:17:00,12:17:00,40630,60,,0,0
Su16__Brown_1200,12:19:00,12:19:00,40640,70,,0,0
Su16__Brown_1200,12:20:00,12:20:00,40910,80,,0,0
Su16__Brown_1200,12:22:00,12:22:00,40920,90,,0,0
Su16__Brown_1200,12:30:00,12:30:00,40780,100,,0,0
Su16__Brown_1200,12:34:00,12:34:00,40670,110,,0,0
Su16__Brown_1200,12:35:00,12:35:00,40680,120,,0,0
Su16__Brown_1200,12:42:00,12:42:00,40690,130,,0,0
Su16__Brown_1200,12:47:00,12:47:00,40625,140,Inbound,0,0
Su16__Brown_1200,12:48:00,12:48:00,40930,150,,0,0
Su16__Brown_1200,12:49:00,12:49:00,40700,160,,0,0
Su16__Brown_1200,12:52:00,12:52:00,40710,170,,0,0
Su16__Brown_1200,12:54:00,12:54:00,40490,180,,0,0
Su16__Brown_1200,13:00:00,13:00:00,40460,190,,1,0
Su16__Brown_1300,13:00:00,13:00:00,40460,10,,0,1
Su16__Brown_1300,13:05:00,13:05:00,40900,20,,0,0
Su16__Brown_1300,13:09:00,13:09:00,40600,30,,0,0
Su16__Brown_1300,13:12:00,13:12:00,40610,40,,0,0
Su16__Brown_1300,13:16:00,13:16:00,40620,50,Outbound,0,0
Su16__Brown_1300,13:17:00,13:17:00,40630,60,,0,0
Su16__Brown_1300,13:19:00,13:19:00,40640,70,,0,0
Su16__Brown_1300,13:20:00,13:20:00,40910,80,,0,0
Su16__Brown_1300,13:22:00,13:22:00,40920,90,,0,0
Su16__Brown_1300,13:30:00,13:30:00,40780,100,,0,0
Su16__Brown_1300,13:34:00,13:34:00,40670,110,,0,0
Su16__Brown_1300,13:35:00,13:35:00,40680,120,,0,0
Su16__Brown_1300,13:42:00,13:42:00,40690,130,,0,0
Su16__Brown_1300,13:47:00,13:47:00,40625,140,Inbound,0,0
Su16__Brown_1300,13:48:00,13:48:00,40930,150,,0,0
